collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024131415169,2024,131415169,2,1,1,1,13,3,2,0,0,0,0,0,1,1,E01011340,7,1,1.0,0.0,1
2024131487310,2024,131487310,2,1,1,1,42,7,3,0,0,0,0,0,9,1,E01010607,3,1,0.0,1.0,2
2024131501103,2024,131501103,1,1,3,1,11,3,3,5,1,0,0,-1,0,1,E01011316,3,1,0.0,1.0,1
2024131467078,2024,131467078,1,1,1,2,50,8,2,0,0,0,0,0,9,9,E01010954,6,1,1.0,0.0,1
2024131507753,2024,131507753,1,1,1,1,83,11,3,0,0,0,0,0,9,7,E01011849,3,1,0.0,1.0,1
2024131519947,2024,131519947,1,2,3,1,39,7,3,9,8,0,0,-1,0,2,E01011034,3,1,0.0,1.0,1
2024131433604,2024,131433604,2,1,3,2,34,6,3,10,9,0,0,-1,0,4,E01011201,3,1,0.0,1.0,1
2024131503587,2024,131503587,2,2,1,2,64,9,3,0,0,0,0,0,9,4,E01010688,3,1,0.0,1.0,1
2024131532961,2024,131532961,2,1,2,1,33,6,2,0,0,1,0,0,9,1,E01011426,7,1,1.0,0.0,1
2024131456423,2024,131456423,3,2,2,1,6,2,3,0,0,2,0,0,9,-1,-1,3,1,0.0,1.0,-1
2024131503598,2024,131503598,1,1,1,2,36,7,2,0,0,0,0,0,9,8,E01011584,7,1,1.0,0.0,1
2024131485961,2024,131485961,1,1,1,1,22,5,3,0,0,0,0,0,9,1,E01010676,3,1,0.0,1.0,1
2024131451824,2024,131451824,1,1,3,1,28,6,3,8,1,0,0,-1,0,1,E01010743,3,1,0.0,1.0,1
2024131404098,2024,131404098,1,1,1,1,33,6,3,0,0,0,0,0,9,1,E01010618,3,1,0.0,1.0,3
2024131462771,2024,131462771,1,1,1,2,21,5,3,0,0,0,0,0,9,1,E01010610,3,1,0.0,1.0,1
2024131438296,2024,131438296,2,1,1,2,27,6,2,0,0,0,0,0,9,2,E01011771,7,1,1.0,0.0,3
2024131454016,2024,131454016,2,3,2,1,31,6,3,0,0,2,0,0,9,7,E01011506,3,1,0.0,1.0,2
2024131514054,2024,131514054,1,1,1,1,20,4,2,0,0,0,0,0,1,1,E01010743,7,1,1.0,0.0,1
2024131411126,2024,131411126,3,1,1,1,49,8,3,0,0,0,0,0,9,3,E01011478,3,1,0.0,1.0,1
2024131527354,2024,131527354,1,1,3,1,38,7,3,5,1,0,0,-1,0,3,E01010584,3,1,0.0,1.0,2
2024131432276,2024,131432276,2,1,1,2,39,7,3,0,0,0,0,0,9,9,E01011887,3,1,0.0,1.0,1
2024131422716,2024,131422716,2,3,2,1,10,2,3,0,0,2,0,0,9,1,E01010653,3,1,0.0,1.0,2
2024131398498,2024,131398498,2,1,2,2,42,7,3,0,0,1,0,0,9,5,E01035053,3,1,0.0,1.0,1
2024131468576,2024,131468576,2,1,1,1,5,1,3,0,0,0,0,0,1,1,E01033697,3,1,0.0,1.0,1
2024131420710,2024,131420710,1,2,1,2,45,7,3,0,0,0,0,0,9,2,E01011594,3,1,0.0,1.0,1
2024131425035,2024,131425035,1,1,2,1,39,7,3,0,0,1,0,0,9,2,E01011321,3,1,0.0,1.0,3
2024131438804,2024,131438804,2,1,1,1,51,8,3,0,0,0,0,0,9,1,E01011360,3,1,0.0,1.0,1
2024131497469,2024,131497469,1,1,3,2,36,7,2,5,1,0,0,-1,0,1,E01010821,7,1,1.0,0.0,1
2024131493385,2024,131493385,2,1,1,2,42,7,3,0,0,0,0,0,9,9,E01013370,3,1,0.0,1.0,4
2024131520272,2024,131520272,1,1,1,1,30,6,3,0,0,0,0,0,9,4,E01032489,3,1,0.0,1.0,1
2024131497876,2024,131497876,2,1,1,1,44,7,2,0,0,0,0,0,9,1,E01033693,7,1,1.0,0.0,1
2024131436383,2024,131436383,1,1,3,2,24,5,3,1,1,0,0,-1,0,1,E01011324,3,1,0.0,1.0,1
2024131394091,2024,131394091,1,2,3,1,18,4,3,5,1,0,0,-1,0,5,E01011836,3,1,0.0,1.0,1
2024131495430,2024,131495430,2,1,1,1,11,3,3,0,0,0,0,0,1,1,E01010713,3,1,0.0,1.0,1
2024131476256,2024,131476256,2,1,2,1,31,6,3,0,0,1,0,0,9,2,E01011639,3,1,0.0,1.0,2
2024131477567,2024,131477567,1,1,1,1,18,4,3,0,0,0,0,0,9,2,E01005400,3,1,0.0,1.0,3
2024131420732,2024,131420732,2,1,1,2,67,10,3,0,0,0,0,0,9,7,E01011556,3,1,0.0,1.0,1
2024131401004,2024,131401004,1,2,2,1,10,2,2,0,0,1,0,0,9,10,E01010768,6,1,1.0,0.0,1
2024131512876,2024,131512876,1,1,1,1,24,5,1,0,0,0,0,0,9,1,E01011474,1,1,0.0,0.0,2
2024131525221,2024,131525221,1,1,1,1,31,6,2,0,0,0,0,0,90,6,E01011500,7,1,1.0,0.0,1
2024131428368,2024,131428368,1,1,3,2,89,11,2,6,9,0,0,-1,0,3,E01011722,7,1,1.0,0.0,1
2024131499698,2024,131499698,4,2,1,1,30,6,3,0,0,0,0,0,9,1,E01006064,3,1,0.0,1.0,4
2024131522763,2024,131522763,1,1,1,1,30,6,2,0,0,0,0,0,3,2,E01011060,7,1,1.0,0.0,1
2024131437584,2024,131437584,1,1,3,1,42,7,2,8,9,0,0,-1,0,3,E01010789,5,1,1.0,0.0,1
2024131463697,2024,131463697,1,1,1,1,20,4,3,0,0,0,0,0,9,2,E01010779,3,1,0.0,1.0,2
2024131514491,2024,131514491,1,1,2,1,3,1,3,0,0,2,0,0,9,1,E01011362,3,1,0.0,1.0,1
2024131428995,2024,131428995,3,1,1,2,35,6,3,0,0,0,0,0,9,5,E01011388,3,1,0.0,1.0,1
2024131514519,2024,131514519,2,1,1,1,32,6,3,0,0,0,0,0,9,3,E01011717,3,1,0.0,1.0,1
2024131470835,2024,131470835,1,1,3,2,5,1,3,8,4,0,0,-1,0,1,E01010721,3,1,0.0,1.0,1
2024131458233,2024,131458233,2,2,1,2,39,7,3,0,0,0,0,0,9,5,E01011821,3,1,0.0,1.0,1
2024131447272,2024,131447272,2,1,1,2,10,2,3,0,0,0,0,0,1,1,E01011864,3,1,0.0,1.0,1
2024131414297,2024,131414297,2,1,1,2,27,6,3,0,0,0,0,0,9,2,E01013448,3,1,0.0,1.0,4
2024131419608,2024,131419608,1,1,1,1,22,5,2,0,0,0,0,0,9,1,E01010605,7,1,1.0,0.0,2
2024131500829,2024,131500829,1,1,1,1,34,6,3,0,0,0,0,0,9,1,E01011317,3,1,0.0,1.0,4
2024131408639,2024,131408639,2,1,1,1,44,7,3,0,0,0,0,0,9,2,E01010815,3,1,0.0,1.0,1
2024131448246,2024,131448246,1,1,1,1,73,10,2,0,0,0,0,0,9,3,E01010595,7,1,1.0,0.0,1
2024131415226,2024,131415226,1,2,2,2,21,5,3,0,0,0,0,0,9,-1,-1,3,1,0.0,1.0,-1
2024131486721,2024,131486721,2,1,1,1,38,7,3,0,0,0,0,0,9,9,E01011844,3,1,0.0,1.0,3
2024131480399,2024,131480399,1,1,3,1,82,11,3,8,1,0,0,-1,0,5,E01027649,3,1,0.0,1.0,4
2024131450358,2024,131450358,1,1,1,1,44,7,3,0,0,0,0,0,9,1,E01011617,3,1,0.0,1.0,1
2024131529817,2024,131529817,1,1,3,1,76,11,3,5,1,0,0,-1,0,9,E01011456,3,1,0.0,1.0,1
2024131440086,2024,131440086,2,3,2,1,22,5,2,0,0,1,0,0,9,1,E01011134,5,1,1.0,0.0,2
2024131534519,2024,131534519,2,1,1,2,55,8,3,0,0,0,0,0,9,10,E01007600,3,1,0.0,1.0,4
2024131461008,2024,131461008,2,1,1,2,30,6,3,0,0,0,0,0,9,3,E01010600,3,1,0.0,1.0,1
2024131447960,2024,131447960,2,1,1,1,10,2,2,0,0,0,0,0,1,8,E01010907,7,1,1.0,0.0,1
2024131423763,2024,131423763,2,1,1,1,80,11,3,0,0,0,0,0,9,3,E01011322,3,1,0.0,1.0,1
2024131461774,2024,131461774,3,3,2,2,23,5,2,0,0,1,0,0,9,3,E01011257,5,1,1.0,0.0,1
2024131410809,2024,131410809,1,1,1,1,55,8,3,0,0,0,0,0,19,1,E01005086,3,1,0.0,1.0,4
2024131526080,2024,131526080,1,1,3,1,35,6,3,4,1,0,0,-1,0,6,E01010787,3,1,0.0,1.0,1
2024131496681,2024,131496681,2,3,2,1,50,8,3,0,0,1,0,0,9,6,E01011885,3,1,0.0,1.0,3
2024131430422,2024,131430422,1,1,1,2,79,11,2,0,0,0,0,0,9,2,E01010912,6,1,1.0,0.0,1
2024131486895,2024,131486895,1,2,2,2,68,10,2,0,0,1,0,0,9,1,E01010943,6,1,1.0,0.0,1
2024131415948,2024,131415948,1,2,3,1,40,7,2,10,9,0,0,-1,0,1,E01010838,7,1,1.0,0.0,1
2024131472931,2024,131472931,2,1,1,1,35,6,3,0,0,0,0,0,9,1,E01010842,3,1,0.0,1.0,1
2024131440868,2024,131440868,2,1,1,1,17,4,3,0,0,0,0,0,3,9,E01011847,3,1,0.0,1.0,1
2024131505680,2024,131505680,2,1,2,2,31,6,3,0,0,2,0,0,9,4,E01010902,3,1,0.0,1.0,1
2024131477072,2024,131477072,1,1,3,1,77,11,2,8,3,0,0,-1,0,8,E01011848,5,1,1.0,0.0,1
2024131517577,2024,131517577,1,1,3,1,21,5,2,6,9,0,0,-1,0,1,E01011471,7,1,1.0,0.0,3
2024131517010,2024,131517010,1,1,1,2,28,6,3,0,0,0,0,0,9,2,E01010658,3,1,0.0,1.0,1
2024131400660,2024,131400660,1,1,3,1,10,2,3,5,3,0,0,-1,0,2,E01011538,3,1,0.0,1.0,1
2024131480240,2024,131480240,1,1,3,1,26,6,2,10,3,0,0,-1,0,-1,-1,7,1,1.0,0.0,-1
2024131447183,2024,131447183,2,1,1,2,27,6,3,0,0,0,0,0,9,1,E01011677,3,1,0.0,1.0,3
2024131441178,2024,131441178,1,1,3,2,24,5,3,5,1,0,0,-1,0,2,E01010974,3,1,0.0,1.0,1
2024131499728,2024,131499728,2,2,2,2,17,4,3,0,0,2,0,0,9,-1,-1,3,1,0.0,1.0,-1
2024131499843,2024,131499843,2,2,2,2,13,3,3,0,0,0,0,0,9,3,E01014404,3,1,0.0,1.0,5
2024131422856,2024,131422856,2,1,1,1,60,9,3,0,0,0,0,0,9,2,E01011123,3,1,0.0,1.0,1
2024131477538,2024,131477538,1,1,1,1,74,10,2,0,0,0,0,0,9,3,E01007433,7,1,1.0,0.0,1
2024131453248,2024,131453248,2,1,1,2,41,7,3,0,0,0,0,0,9,1,E01010802,3,1,0.0,1.0,1
2024131519607,2024,131519607,1,1,3,1,69,10,2,5,3,0,0,-1,0,5,E01011534,7,1,1.0,0.0,1
2024131516079,2024,131516079,2,3,1,1,38,7,2,0,0,0,0,0,9,7,E01010672,7,1,1.0,0.0,1
2024131429747,2024,131429747,1,1,3,1,31,6,3,8,2,0,0,-1,0,3,E01011908,3,1,0.0,1.0,1
